,nome,estado,latitude,longitude
4354,Santa Bárbara do Pará,15,-1.19219,-48.238
4355,Santa Bárbara do Sul,43,-28.3653,-53.251
4356,Santa Bárbara do Tugúrio,31,-21.2431,-43.5607
4357,Santa Branca,35,-23.3933,-45.8875
4358,Santa Brígida,29,-9.73227,-38.1209
4359,Santa Carmem,51,-11.9125,-55.2263
4360,Santa Cecília,42,-26.9592,-50.4252
4361,Santa Cecília,25,-7.7389,-35.8764
4362,Santa Cecília do Pavão,41,-23.5201,-50.7835
4363,Santa Cecília do Sul,43,-28.1609,-51.9279
4364,Santa Clara d'Oeste,35,-20.09,-50.9491
4365,Santa Clara do Sul,43,-29.4747,-52.0843
4366,Santa Cruz,24,-6.22475,-36.0193
4367,Santa Cruz,25,-6.5237,-38.0617
4368,Santa Cruz,26,-8.24153,-40.3434
4369,Santa Cruz Cabrália,29,-16.2825,-39.0295
4370,Santa Cruz da Baixa Verde,26,-7.81339,-38.1476
4371,Santa Cruz da Conceição,35,-22.1405,-47.4512
4372,Santa Cruz da Esperança,35,-21.2951,-47.4304
4373,Santa Cruz da Vitória,29,-14.964,-39.8115
4374,Santa Cruz das Palmeiras,35,-21.8235,-47.248
4375,Santa Cruz de Goiás,52,-17.3155,-48.4809
